2023-11-03 00:09:18.936178167 +0700 WIB m=+18.679576550 	 ID USER : 243 	 ID QUIZ : 19 	 Sesi: UJI COBA - TES PENJURUSAN KULIAH (14) 	 Kota: Jambi
2023-11-03 00:09:51.810402085 +0700 WIB m=+51.553395774 	 ID USER : 243 	 ID QUIZ : 20 	 Sesi: UJI COBA - PEMINATAN SMA (8) 	 Kota: Jambi
2023-11-03 00:10:24.104045711 +0700 WIB m=+83.847562455 	 ID USER : 243 	 ID QUIZ : 55 	 Sesi: PENJURUSAN KULIAH (VERSI 2) (25) 	 Kota: Jambi
2023-11-03 00:10:47.096663097 +0700 WIB m=+106.840180008 	 ID USER : 243 	 ID QUIZ : 66 	 Sesi: TES IQ dan EQ (33) 	 Kota: Magelang
2023-11-03 00:11:27.290231546 +0700 WIB m=+147.032155983 	 ID USER : 243 	 ID QUIZ : 73 	 Sesi: PEMINATAN SMK (VERSI 2) (34) 	 Kota: Kerinci
2023-11-03 00:12:05.841354925 +0700 WIB m=+185.583945417 	 ID USER : 243 	 ID QUIZ : 91 	 Sesi: PEMINATAN SMK (VERSI 2) (34) 	 Kota: Makassar
2023-11-03 00:12:29.429756214 +0700 WIB m=+209.171659678 	 ID USER : 243 	 ID QUIZ : 164 	 Sesi: TES MODE DEV NEW ANDROID (42) 	 Kota: Jambi
2023-11-03 00:12:43.111571887 +0700 WIB m=+222.853475351 	 ID USER : 243 	 ID QUIZ : 165 	 Sesi: TES BANK SOAL 3 (41) 	 Kota: Jambi
2023-11-03 00:13:15.786838805 +0700 WIB m=+255.529119074 	 ID USER : 243 	 ID QUIZ : 166 	 Sesi: PEMINATAN SMA (100) 	 Kota: Jambi
2023-11-03 00:13:17.473715958 +0700 WIB m=+257.215223116 	 ID USER : 243 	 ID QUIZ : 167 	 Sesi: SIKAP PELAJARAN (KHUSUS) (27) 	 Kota: Jambi
2023-11-03 00:21:20 	 ID USER : 243 	 ID QUIZ : 19 	 Sesi: UJI COBA - TES PENJURUSAN KULIAH (14) 	 Kota: Jambi
2023-11-03 00:21:52 	 ID USER : 243 	 ID QUIZ : 20 	 Sesi: UJI COBA - PEMINATAN SMA (8) 	 Kota: Jambi
2023-11-03 00:22:21 	 ID USER : 243 	 ID QUIZ : 55 	 Sesi: PENJURUSAN KULIAH (VERSI 2) (25) 	 Kota: Jambi
2023-11-03 00:22:41 	 ID USER : 243 	 ID QUIZ : 66 	 Sesi: TES IQ dan EQ (33) 	 Kota: Magelang
2023-11-03 00:23:17 	 ID USER : 243 	 ID QUIZ : 73 	 Sesi: PEMINATAN SMK (VERSI 2) (34) 	 Kota: Kerinci
2023-11-03 00:23:53 	 ID USER : 243 	 ID QUIZ : 91 	 Sesi: PEMINATAN SMK (VERSI 2) (34) 	 Kota: Makassar
2023-11-03 00:24:16 	 ID USER : 243 	 ID QUIZ : 164 	 Sesi: TES MODE DEV NEW ANDROID (42) 	 Kota: Jambi
2023-11-03 00:24:28 	 ID USER : 243 	 ID QUIZ : 165 	 Sesi: TES BANK SOAL 3 (41) 	 Kota: Jambi
2023-11-03 00:25:04 	 ID USER : 243 	 ID QUIZ : 166 	 Sesi: PEMINATAN SMA (100) 	 Kota: Jambi
2023-11-03 00:25:05 	 ID USER : 243 	 ID QUIZ : 167 	 Sesi: SIKAP PELAJARAN (KHUSUS) (27) 	 Kota: Jambi
